code_3,code_1,script,name,family,type,tok_code,proxy,auto_assigned,default_code_1,default_script
apn,,Latn,Apinayé,Jean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
apr,,Latn,Arop-Lokep,Austronesian,SpaCyTokenizer,ms,TRUE,TRUE,FALSE,TRUE
apt,,Latn,Apatani,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
apu,,Latn,Apurinã,Maipurean,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
apw,,Latn,Western Apache,Eyak-Athabaskan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
apy,,Latn,Apalaí,Cariban,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
apz,,Latn,Safeyoka,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
aqz,,Latn,Akuntsu,Tupian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ara,ar,Arab,Arabic,,SpaCyTokenizer,ar,FALSE,FALSE,FALSE,TRUE
ara,ar,Latn,Arabic,,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,FALSE
arb,ar,Arab,Standard Arabic,Afro-Asiatic,SpaCyTokenizer,ar,FALSE,FALSE,TRUE,TRUE
arb,ar,Latn,Standard Arabic,Afro-Asiatic,StanzaTokenizer,mt,TRUE,TRUE,TRUE,FALSE
are,,Latn,Western Arrarnta,Australian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
arg,an,Latn,Aragonese,Indo-European,SpaCyTokenizer,es,TRUE,TRUE,TRUE,TRUE
arl,,Latn,Arabela,Zaparoan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
arn,,Latn,Mapudungun,Mapudungu,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
arp,,Latn,Arapaho,Algic,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
arq,ar,Arab,Algerian Arabic,Afro-Asiatic,SpaCyTokenizer,ar,FALSE,FALSE,FALSE,TRUE
arr,,Latn,Karo (Brazil),Tupian,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ars,ar,Arab,Najdi Arabic,Afro-Asiatic,SpaCyTokenizer,ar,FALSE,FALSE,FALSE,TRUE
ary,ar,Arab,Moroccan Arabic,Afro-Asiatic,SpaCyTokenizer,ar,FALSE,FALSE,FALSE,TRUE
arz,ar,Arab,Egyptian Arabic,Afro-Asiatic,SpaCyTokenizer,ar,FALSE,FALSE,FALSE,TRUE
asg,,Latn,Cishingini,Niger-Congo,SpaCyTokenizer,tn,TRUE,TRUE,FALSE,TRUE
asm,as,Beng,Assamese,Indo-European,IndicNLPTokenizer,as,FALSE,FALSE,TRUE,TRUE
asm,as,Latn,Assamese,Indo-European,StanzaTokenizer,kmr,TRUE,TRUE,TRUE,FALSE
aso,,Latn,Dano,Trans-New Guinea,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
ast,,Latn,Asturian,Indo-European,SpaCyTokenizer,es,TRUE,TRUE,FALSE,TRUE
ata,,Latn,Pele-Ata,Yele-West New Britain,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
atb,,Latn,Zaiwa,Sino-Tibetan,SpaCyTokenizer,xx,TRUE,TRUE,FALSE,TRUE
